,Ticker,date,qtr,eps_est,eps,release_time
0,AAPL,1/18/11,Dec-10,,0.23,post
1,AAPL,4/20/11,Mar-11,,0.23,post
2,AAPL,7/19/11,Jun-11,,0.28,post
3,AAPL,10/18/11,Sep-11,,0.25,post
4,AAPL,1/24/12,Dec-11,,0.5,post
5,AAPL,4/24/12,Mar-12,,0.44,post
6,AAPL,7/24/12,Jun-12,,0.33,
7,AAPL,10/25/12,Sep-12,1.26,1.24,post
8,AAPL,1/23/13,Dec-12,1.92,1.97,post
9,AAPL,4/23/13,Mar-13,1.45,1.44,post
10,AAPL,7/23/13,Jun-13,1.04,1.07,post
11,AAPL,10/28/13,Sep-13,1.13,1.18,post
12,AAPL,1/27/14,Dec-13,2.01,2.07,post
13,AAPL,4/23/14,Mar-14,1.46,1.66,post
14,AAPL,7/22/14,Jun-14,1.22,1.28,post
15,AAPL,10/20/14,Sep-14,1.3,1.42,post
16,AAPL,1/27/15,Dec-14,2.6,3.06,post
17,AAPL,4/27/15,Mar-15,2.19,2.33,post
18,AAPL,7/21/15,Jun-15,1.8,1.85,post
19,AAPL,10/27/15,Sep-15,1.88,1.96,post
20,AAPL,1/26/16,Dec-15,3.24,3.28,post
21,AAPL,4/26/16,Mar-16,1.97,1.9,post
22,AAPL,7/26/16,Jun-16,1.39,1.42,post
23,AAPL,10/25/16,Sep-16,1.66,1.67,post
24,AAPL,1/31/17,Dec-16,3.22,3.36,post
25,AAPL,5/2/17,Mar-17,2.02,2.1,post
26,AAPL,8/1/17,Jun-17,1.57,1.67,post
27,AAPL,11/2/17,Sep-17,1.87,2.07,post
28,AAPL,2/1/18,Dec-17,3.82,3.89,post
29,AAPL,5/1/18,Mar-18,2.69,2.73,post
30,AAPL,7/31/18,Jun-18,2.17,2.34,post
31,AAPL,11/1/18,Sep-18,2.79,2.91,post
32,AAPL,1/29/19,Dec-18,4.17,4.18,post
33,AAPL,4/30/19,Mar-19,2.361,2.46,post
34,AAPL,7/30/19,Jun-19,2.098,2.18,post
35,AAPL,10/30/19,Q4,2.839,3.03,
36,AAPL,1/28/20,Q1,4.547,4.99,
37,AAPL,4/30/20,Q2,2.261,2.55,
38,AAPL,7/30/20,Q3,2.044,2.58,
39,AAPL,10/29/20,Q4,0.7,0.73,
40,AAPL,1/27/21,Q1,1.412,1.68,
41,AAPL,4/28/21,Q2,0.987,1.4,
42,AMZN,1/27/11,Dec-10,,0.05,post
43,AMZN,4/26/11,Mar-11,,0.03,
44,AMZN,7/26/11,Jun-11,,0.02,post
45,AMZN,10/25/11,Sep-11,,0.01,post
46,AMZN,1/31/12,Dec-11,,0.02,post
47,AMZN,4/26/12,Mar-12,,0.01,post
48,AMZN,7/26/12,Jun-12,,0,post
49,AMZN,10/25/12,Sep-12,-0.08,-0.23,post
50,AMZN,1/29/13,Dec-12,0.28,0.21,post
51,AMZN,4/25/13,Mar-13,0.1,0.18,post
52,AMZN,7/25/13,Jun-13,0.04,-0.02,post
53,AMZN,10/24/13,Sep-13,-0.09,-0.09,post
54,AMZN,1/30/14,Dec-13,0.68,0.51,post
55,AMZN,4/24/14,Mar-14,0.22,0.23,post
56,AMZN,7/24/14,Jun-14,-0.13,-0.27,post
57,AMZN,10/23/14,Sep-14,-0.73,-0.95,post
58,AMZN,1/29/15,Dec-14,0.24,0.45,post
59,AMZN,4/23/15,Mar-15,-0.13,-0.12,post
60,AMZN,7/23/15,Jun-15,-0.15,0.19,post
61,AMZN,10/22/15,Sep-15,-0.1,0.17,post
62,AMZN,1/28/16,Dec-15,1.61,1,post
63,AMZN,4/28/16,Mar-16,0.61,1.07,post
64,AMZN,7/28/16,Jun-16,1.14,1.78,post
65,AMZN,10/27/16,Sep-16,0.85,0.52,post
66,AMZN,2/2/17,Dec-16,1.4,1.54,post
67,AMZN,4/27/17,Mar-17,1.03,1.48,post
68,AMZN,7/27/17,Jun-17,1.4,0.4,post
69,AMZN,10/26/17,Sep-17,0.01,0.52,post
70,AMZN,2/1/18,Dec-17,1.85,2.16,post
71,AMZN,4/26/18,Mar-18,1.22,3.27,post
72,AMZN,7/26/18,Jun-18,2.49,5.07,post
73,AMZN,10/25/18,Sep-18,3.29,5.75,post
74,AMZN,1/31/19,Dec-18,5.55,6.04,post
